index,value
0,61889987445559124095668311885706481560103215845844839349360918799463470477
1,101072748012775365038792829609889405627742219368293804504574356340663923379
2,185279315309520593492911034672040670858122943073864101873287177275447619918
3,98040400100390406215088635466816438430161875447624434115231157021638977421
4,97808937097189082369846838758101668111596434698787276225534815237500122825
5,371648881902197007202847372595276028415181289851395950370002024320858714185
6,247611195350185367090023690828652867868230979921579066517586367241882275839
7,313037611099476696019987717079057750800295619842436227636982859171593774568
8,21313236055061635094041735472139598412840240229846435896162865610335995863
9,13726421125171237094888433280894052707540646504066719232059073970521176911
10,236527205882684973979062912165877824682844033908603227311681983598126773298
11,85088952861105831190914853925253684344057398755929600049504628530106368838
12,98052433073120490577867107428474042187733225555302820247417010895413486362
13,244170852794380692782526919980560028806980996933676952301390797664435906107
14,271934562074684248976549064611284038974921557138980498701777711962721769944
15,226644450958188316463700519458838684653238407213975878896035666866695627370
16,169880662518741801762458089861298292241067010663221051651338204145284881245
17,102311197159613210259040315055573022674413907673349324725229536999292465568
18,429034207661224727350180347305129649108532086435242297814943359649572628830
19,49697307922520581820669676381980297740558360900768116612538475159515958422
